time,open,high,low,close,volume
2020-01-02 00:00:00,108.717,108.726,108.717,108.721,8
2020-01-02 00:01:00,108.725,108.725,108.720,108.720,9
2020-01-02 00:02:00,108.720,108.720,108.719,108.719,2
2020-01-02 00:03:00,108.721,108.742,108.721,108.741,7
2020-01-02 00:04:00,108.740,108.743,108.739,108.740,5
2020-01-02 00:05:00,108.740,108.744,108.740,108.744,4
2020-01-02 00:06:00,108.742,108.745,108.742,108.744,8
2020-01-02 00:07:00,108.744,108.744,108.740,108.744,286
2020-01-02 00:08:00,108.744,108.745,108.737,108.742,200
2020-01-02 00:09:00,108.742,108.743,108.732,108.732,241
2020-01-02 00:10:00,108.732,108.734,108.732,108.733,139
2020-01-02 00:11:00,108.733,108.733,108.730,108.730,177
2020-01-02 00:12:00,108.726,108.737,108.726,108.737,35
2020-01-02 00:13:00,108.737,108.740,108.629,108.732,71
2020-01-02 00:14:00,108.731,108.731,108.720,108.720,72
2020-01-02 00:15:00,108.721,108.723,108.556,108.721,44
2020-01-02 00:16:00,108.729,108.731,108.727,108.730,4
2020-01-02 00:17:00,108.729,108.729,108.723,108.729,3
2020-01-02 00:18:00,108.724,108.730,108.566,108.566,67
2020-01-02 00:19:00,108.566,108.669,108.566,108.669,16
2020-01-02 00:20:00,108.671,108.671,108.671,108.671,1
2020-01-02 00:21:00,108.671,108.671,108.671,108.671,2
2020-01-02 00:22:00,108.670,108.671,108.670,108.671,2
2020-01-02 00:23:00,108.671,108.671,108.671,108.671,5
2020-01-02 00:24:00,108.671,108.673,108.670,108.670,13
2020-01-02 00:25:00,108.670,108.671,108.670,108.671,10
2020-01-02 00:26:00,108.671,108.671,108.671,108.671,5
2020-01-02 00:27:00,108.671,108.671,108.671,108.671,1
2020-01-02 00:28:00,108.671,108.694,108.671,108.694,5
2020-01-02 00:29:00,108.694,108.694,108.694,108.694,6
2020-01-02 00:30:00,108.694,108.694,108.694,108.694,7
2020-01-02 00:31:00,108.694,108.694,108.691,108.691,5
2020-01-02 00:32:00,108.691,108.693,108.691,108.692,14
2020-01-02 00:33:00,108.690,108.692,108.690,108.692,2
2020-01-02 00:35:00,108.690,108.690,108.677,108.677,3
2020-01-02 00:36:00,108.682,108.682,108.658,108.664,20
2020-01-02 00:37:00,108.664,108.664,108.658,108.664,23
2020-01-02 00:38:00,108.659,108.664,108.658,108.661,14
2020-01-02 00:39:00,108.661,108.664,108.656,108.660,29
2020-01-02 00:40:00,108.663,108.663,108.659,108.663,6
2020-01-02 00:41:00,108.660,108.663,108.660,108.660,4
2020-01-02 00:42:00,108.663,108.663,108.659,108.663,8
2020-01-02 00:43:00,108.663,108.665,108.660,108.663,14
2020-01-02 00:44:00,108.665,108.665,108.665,108.665,2
2020-01-02 00:45:00,108.667,108.667,108.666,108.666,2
2020-01-02 00:46:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:47:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:49:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:50:00,108.668,108.668,108.668,108.668,2
2020-01-02 00:51:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:52:00,108.668,108.668,108.667,108.667,2
2020-01-02 00:53:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:54:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:55:00,108.667,108.667,108.667,108.667,1
2020-01-02 00:56:00,108.667,108.668,108.667,108.668,2
2020-01-02 00:57:00,108.668,108.668,108.668,108.668,1
2020-01-02 00:59:00,108.668,108.668,108.666,108.666,3
2020-01-02 01:00:00,108.666,108.668,108.613,108.624,59
2020-01-02 01:01:00,108.626,108.632,108.619,108.619,38
2020-01-02 01:02:00,108.619,108.624,108.603,108.603,65
2020-01-02 01:03:00,108.605,108.614,108.598,108.610,87
2020-01-02 01:04:00,108.611,108.616,108.599,108.601,92
2020-01-02 01:05:00,108.606,108.607,108.601,108.603,23
2020-01-02 01:06:00,108.602,108.605,108.599,108.605,19
2020-01-02 01:07:00,108.605,108.605,108.605,108.605,8
2020-01-02 01:08:00,108.605,108.606,108.605,108.606,5
2020-01-02 01:09:00,108.607,108.639,108.607,108.636,32
2020-01-02 01:10:00,108.636,108.646,108.632,108.645,47
2020-01-02 01:11:00,108.643,108.646,108.643,108.644,17
2020-01-02 01:12:00,108.645,108.651,108.643,108.651,17
2020-01-02 01:13:00,108.653,108.655,108.651,108.651,16
2020-01-02 01:14:00,108.651,108.652,108.650,108.650,8
2020-01-02 01:15:00,108.651,108.651,108.646,108.647,34
2020-01-02 01:16:00,108.647,108.648,108.641,108.641,16
2020-01-02 01:17:00,108.641,108.642,108.637,108.638,21
2020-01-02 01:18:00,108.639,108.646,108.639,108.645,31
2020-01-02 01:19:00,108.644,108.649,108.644,108.648,21
2020-01-02 01:20:00,108.649,108.653,108.646,108.650,21
2020-01-02 01:21:00,108.651,108.671,108.651,108.670,31
2020-01-02 01:22:00,108.670,108.670,108.662,108.662,47
2020-01-02 01:23:00,108.663,108.665,108.657,108.665,52
2020-01-02 01:24:00,108.665,108.667,108.665,108.667,34
2020-01-02 01:25:00,108.666,108.672,108.666,108.671,41
2020-01-02 01:26:00,108.672,108.678,108.672,108.677,30
2020-01-02 01:27:00,108.679,108.684,108.679,108.684,21
2020-01-02 01:28:00,108.683,108.691,108.683,108.688,42
2020-01-02 01:29:00,108.688,108.693,108.684,108.685,38
2020-01-02 01:30:00,108.684,108.685,108.678,108.685,42
2020-01-02 01:31:00,108.684,108.685,108.680,108.680,21
2020-01-02 01:32:00,108.680,108.686,108.680,108.684,15
2020-01-02 01:33:00,108.685,108.686,108.682,108.683,22
2020-01-02 01:34:00,108.684,108.684,108.683,108.683,3
2020-01-02 01:35:00,108.683,108.683,108.678,108.681,30
2020-01-02 01:36:00,108.681,108.681,108.679,108.679,20
2020-01-02 01:37:00,108.680,108.681,108.675,108.678,17
2020-01-02 01:38:00,108.678,108.680,108.678,108.678,13
2020-01-02 01:39:00,108.677,108.677,108.674,108.674,10
2020-01-02 01:40:00,108.675,108.677,108.669,108.671,19
2020-01-02 01:41:00,108.671,108.674,108.670,108.674,10
2020-01-02 01:42:00,108.674,108.675,108.673,108.673,7
2020-01-02 01:43:00,108.674,108.675,108.673,108.673,14
2020-01-02 01:44:00,108.675,108.675,108.668,108.668,73
2020-01-02 01:45:00,108.668,108.674,108.668,108.674,63
2020-01-02 01:46:00,108.674,108.681,108.674,108.681,24
2020-01-02 01:47:00,108.681,108.707,108.681,108.705,65
2020-01-02 01:48:00,108.705,108.705,108.696,108.698,55
2020-01-02 01:49:00,108.699,108.706,108.699,108.705,28
2020-01-02 01:50:00,108.705,108.705,108.701,108.702,55
2020-01-02 01:51:00,108.701,108.701,108.696,108.699,36
2020-01-02 01:52:00,108.699,108.699,108.699,108.699,14
2020-01-02 01:53:00,108.699,108.699,108.699,108.699,7
2020-01-02 01:54:00,108.699,108.699,108.696,108.697,29
2020-01-02 01:55:00,108.698,108.698,108.695,108.697,60
2020-01-02 01:56:00,108.696,108.699,108.696,108.696,61
2020-01-02 01:57:00,108.697,108.698,108.696,108.698,24
2020-01-02 01:58:00,108.698,108.711,108.697,108.711,25
2020-01-02 01:59:00,108.713,108.719,108.713,108.714,62
2020-01-02 02:00:00,108.714,108.728,108.702,108.702,75
2020-01-02 02:01:00,108.702,108.709,108.702,108.709,26
2020-01-02 02:02:00,108.710,108.715,108.709,108.710,43
2020-01-02 02:03:00,108.710,108.711,108.701,108.702,49
2020-01-02 02:04:00,108.703,108.703,108.691,108.691,21
2020-01-02 02:05:00,108.692,108.699,108.692,108.698,41
2020-01-02 02:06:00,108.699,108.705,108.698,108.701,43
2020-01-02 02:07:00,108.701,108.704,108.699,108.704,42
2020-01-02 02:08:00,108.703,108.705,108.691,108.692,24
2020-01-02 02:09:00,108.691,108.700,108.691,108.698,31
2020-01-02 02:10:00,108.698,108.699,108.693,108.696,34
2020-01-02 02:11:00,108.697,108.697,108.696,108.697,13
2020-01-02 02:12:00,108.696,108.696,108.692,108.692,26
2020-01-02 02:13:00,108.692,108.695,108.692,108.695,10
2020-01-02 02:14:00,108.696,108.698,108.696,108.696,7
2020-01-02 02:15:00,108.695,108.698,108.692,108.693,26
2020-01-02 02:16:00,108.693,108.694,108.686,108.687,38
2020-01-02 02:17:00,108.687,108.688,108.686,108.686,14
2020-01-02 02:18:00,108.686,108.691,108.686,108.687,20
2020-01-02 02:19:00,108.686,108.689,108.686,108.687,16
2020-01-02 02:20:00,108.686,108.688,108.685,108.685,12
2020-01-02 02:21:00,108.684,108.687,108.681,108.682,25
2020-01-02 02:22:00,108.683,108.689,108.683,108.689,32
2020-01-02 02:23:00,108.689,108.689,108.684,108.684,19
2020-01-02 02:24:00,108.683,108.683,108.681,108.682,15
2020-01-02 02:25:00,108.681,108.683,108.681,108.682,11
2020-01-02 02:26:00,108.681,108.682,108.681,108.682,2
2020-01-02 02:27:00,108.681,108.682,108.675,108.676,26
2020-01-02 02:28:00,108.677,108.681,108.674,108.681,13
2020-01-02 02:29:00,108.681,108.681,108.676,108.676,5
2020-01-02 02:30:00,108.675,108.676,108.674,108.675,9
2020-01-02 02:31:00,108.674,108.676,108.674,108.676,9
2020-01-02 02:32:00,108.676,108.688,108.676,108.687,21
2020-01-02 02:33:00,108.687,108.692,108.687,108.687,22
2020-01-02 02:34:00,108.688,108.688,108.682,108.683,10
2020-01-02 02:35:00,108.682,108.684,108.682,108.683,11
2020-01-02 02:36:00,108.684,108.686,108.683,108.683,16
2020-01-02 02:37:00,108.683,108.688,108.682,108.688,12
2020-01-02 02:38:00,108.688,108.696,108.687,108.696,31
2020-01-02 02:39:00,108.695,108.702,108.695,108.701,29
2020-01-02 02:40:00,108.701,108.703,108.701,108.701,7
2020-01-02 02:41:00,108.700,108.701,108.694,108.699,26
2020-01-02 02:42:00,108.700,108.701,108.693,108.694,24
2020-01-02 02:43:00,108.692,108.694,108.687,108.688,34
2020-01-02 02:44:00,108.689,108.689,108.687,108.687,10
2020-01-02 02:45:00,108.687,108.687,108.687,108.687,2
2020-01-02 02:46:00,108.688,108.690,108.687,108.687,11
2020-01-02 02:47:00,108.688,108.689,108.687,108.687,21
2020-01-02 02:48:00,108.688,108.689,108.686,108.688,8
2020-01-02 02:49:00,108.689,108.694,108.688,108.693,13
2020-01-02 02:50:00,108.694,108.696,108.693,108.696,10
2020-01-02 02:51:00,108.695,108.702,108.695,108.702,36
2020-01-02 02:52:00,108.702,108.713,108.702,108.713,15
2020-01-02 02:53:00,108.712,108.712,108.705,108.706,18
2020-01-02 02:54:00,108.705,108.706,108.693,108.694,32
2020-01-02 02:55:00,108.692,108.693,108.687,108.689,25
2020-01-02 02:56:00,108.688,108.694,108.688,108.694,36
2020-01-02 02:57:00,108.693,108.694,108.689,108.693,23
2020-01-02 02:58:00,108.693,108.694,108.692,108.693,7
2020-01-02 02:59:00,108.692,108.701,108.692,108.701,16
2020-01-02 03:00:00,108.702,108.706,108.698,108.705,56
2020-01-02 03:01:00,108.703,108.705,108.698,108.699,35
2020-01-02 03:02:00,108.698,108.707,108.698,108.706,44
2020-01-02 03:03:00,108.706,108.712,108.706,108.712,38
2020-01-02 03:04:00,108.714,108.724,108.714,108.724,24
2020-01-02 03:05:00,108.723,108.725,108.711,108.711,42
2020-01-02 03:06:00,108.710,108.711,108.704,108.706,39
2020-01-02 03:07:00,108.707,108.707,108.702,108.703,32
2020-01-02 03:08:00,108.701,108.708,108.701,108.708,28
2020-01-02 03:09:00,108.707,108.707,108.705,108.707,27
2020-01-02 03:10:00,108.706,108.707,108.698,108.699,20
2020-01-02 03:11:00,108.700,108.706,108.700,108.706,19
2020-01-02 03:12:00,108.706,108.708,108.703,108.705,29
2020-01-02 03:13:00,108.705,108.706,108.702,108.702,42
2020-01-02 03:14:00,108.702,108.710,108.699,108.699,29
2020-01-02 03:15:00,108.698,108.698,108.688,108.693,45
2020-01-02 03:16:00,108.691,108.694,108.685,108.685,33
2020-01-02 03:17:00,108.685,108.690,108.678,108.686,83
2020-01-02 03:18:00,108.685,108.686,108.675,108.677,76
2020-01-02 03:19:00,108.677,108.677,108.654,108.654,76
2020-01-02 03:20:00,108.654,108.657,108.643,108.643,96
2020-01-02 03:21:00,108.644,108.644,108.631,108.631,77
2020-01-02 03:22:00,108.631,108.646,108.631,108.644,75
2020-01-02 03:23:00,108.645,108.656,108.645,108.648,50
2020-01-02 03:24:00,108.649,108.650,108.646,108.649,29
2020-01-02 03:25:00,108.650,108.652,108.649,108.649,26
2020-01-02 03:26:00,108.649,108.650,108.643,108.649,49
2020-01-02 03:27:00,108.650,108.651,108.646,108.647,33
2020-01-02 03:28:00,108.645,108.647,108.642,108.643,34
2020-01-02 03:29:00,108.643,108.643,108.643,108.643,6
2020-01-02 03:30:00,108.643,108.649,108.643,108.645,47
2020-01-02 03:31:00,108.646,108.652,108.646,108.650,30
2020-01-02 03:32:00,108.650,108.651,108.650,108.650,22
2020-01-02 03:33:00,108.650,108.656,108.642,108.643,68
2020-01-02 03:34:00,108.643,108.645,108.639,108.643,41
2020-01-02 03:35:00,108.643,108.644,108.638,108.643,36
2020-01-02 03:36:00,108.643,108.651,108.643,108.649,37
2020-01-02 03:37:00,108.650,108.652,108.648,108.650,44
2020-01-02 03:38:00,108.651,108.651,108.645,108.647,33
2020-01-02 03:39:00,108.647,108.654,108.647,108.650,43
2020-01-02 03:40:00,108.649,108.651,108.645,108.648,27
2020-01-02 03:41:00,108.648,108.655,108.648,108.655,36
2020-01-02 03:42:00,108.654,108.654,108.650,108.653,28
2020-01-02 03:43:00,108.653,108.656,108.652,108.655,26
2020-01-02 03:44:00,108.656,108.658,108.648,108.649,30
2020-01-02 03:45:00,108.648,108.652,108.648,108.651,19
2020-01-02 03:46:00,108.651,108.653,108.649,108.650,21
2020-01-02 03:47:00,108.650,108.656,108.649,108.656,36
2020-01-02 03:48:00,108.657,108.661,108.656,108.661,18
2020-01-02 03:49:00,108.660,108.668,108.660,108.668,27
2020-01-02 03:50:00,108.669,108.676,108.664,108.665,56
2020-01-02 03:51:00,108.665,108.665,108.658,108.658,31
2020-01-02 03:52:00,108.657,108.657,108.646,108.647,24
2020-01-02 03:53:00,108.647,108.652,108.647,108.651,28
2020-01-02 03:54:00,108.652,108.653,108.648,108.653,61
2020-01-02 03:55:00,108.653,108.653,108.646,108.647,35
2020-01-02 03:56:00,108.646,108.651,108.642,108.649,32
2020-01-02 03:57:00,108.650,108.654,108.645,108.647,26
2020-01-02 03:58:00,108.648,108.653,108.647,108.652,43
2020-01-02 03:59:00,108.652,108.666,108.650,108.660,43
2020-01-02 04:00:00,108.660,108.660,108.649,108.652,55
2020-01-02 04:01:00,108.653,108.666,108.652,108.665,69
2020-01-02 04:02:00,108.665,108.682,108.663,108.677,94
2020-01-02 04:03:00,108.677,108.679,108.670,108.670,45
2020-01-02 04:04:00,108.671,108.677,108.670,108.671,62
2020-01-02 04:05:00,108.671,108.675,108.660,108.660,49
2020-01-02 04:06:00,108.661,108.671,108.661,108.666,47
2020-01-02 04:07:00,108.666,108.671,108.666,108.670,16
